Body 58: x = -228.529, y = 1565.483, z = 688.124, Fx = -0.000, Fy = -0.004, Fz = -0.001
Body 59: x = 1141.002, y = -1347.712, z = 1584.981, Fx = -0.002, Fy = 0.003, Fz = -0.006
Body 60: x = -1577.340, y = -1914.769, z = 1571.922, Fx = 0.002, Fy = 0.003, Fz = -0.002
Body 61: x = 240.766, y = 253.497, z = 2128.165, Fx = -0.000, Fy = -0.000, Fz = -0.004
Body 62: x = -977.988, y = -1616.894, z = -1197.761, Fx = 0.001, Fy = 0.003, Fz = 0.001
Body 63: x = 1055.423, y = -1804.806, z = -971.306, Fx = -0.001, Fy = 0.003, Fz = 0.001
Body 64: x = -926.706, y = 724.471, z = 1696.828, Fx = 0.001, Fy = -0.002, Fz = -0.005
Body 65: x = -1079.794, y = 1583.647, z = 1113.622, Fx = -0.005, Fy = -0.015, Fz = -0.003
Body 66: x = -226.406, y = 1141.151, z = 675.796, Fx = -0.000, Fy = -0.002, Fz = -0.001
Body 67: x = 798.959, y = 1031.432, z = 458.232, Fx = -0.002, Fy = -0.001, Fz = -0.000
Body 68: x = -100.093, y = -1663.504, z = -1028.672, Fx = -0.000, Fy = 0.003, Fz = 0.001
Body 69: x = -493.066, y = -183.294, z = -841.525, Fx = -0.000, Fy = 0.000, Fz = 0.002
Body 70: x = 407.141, y = -721.670, z = 1137.352, Fx = 0.000, Fy = 0.001, Fz = -0.002
Body 71: x = -1174.363, y = 1627.263, z = 1278.114, Fx = 0.003, Fy = -0.006, Fz = -0.003
Body 72: x = 1783.139, y = 1814.450, z = -804.936, Fx = -0.003, Fy = -0.003, Fz = 0.000
Body 73: x = -1414.932, y = 1069.063, z = 1286.743, Fx = -19.014, Fy = 13.901, Fz = -3.026
Body 74: x = -1303.520, y = -538.418, z = -1766.025, Fx = 0.001, Fy = 0.000, Fz = 0.005
Body 75: x = -132.567, y = -2115.578, z = -214.721, Fx = -0.000, Fy = 0.003, Fz = 0.000
Body 76: x = -982.343, y = -167.721, z = -3.750, Fx = 0.002, Fy = 0.000, Fz = 0.000
Body 77: x = 924.853, y = -1099.641, z = 1442.584, Fx = -0.000, Fy = 0.002, Fz = -0.003
Body 78: x = 1408.453, y = 1243.105, z = 810.538, Fx = -0.003, Fy = -0.001, Fz = 0.000
Body 79: x = -378.281, y = -217.925, z = 153.176, Fx = 0.001, Fy = 0.002, Fz = -0.000
Body 80: x = -1478.841, y = -1064.922, z = 1168.936, Fx = 0.004, Fy = 0.002, Fz = -0.001
Body 81: x = -1549.753, y = -1020.468, z = 426.337, Fx = 0.003, Fy = 0.001, Fz = 0.001
Body 82: x = 1211.863, y = 1652.763, z = 886.643, Fx = -0.001, Fy = -0.003, Fz = -0.000
Body 83: x = -1456.368, y = 482.603, z = 1458.767, Fx = 0.004, Fy = -0.000, Fz = -0.003
Body 84: x = -484.386, y = -22.622, z = 657.122, Fx = 0.000, Fy = 0.000, Fz = -0.001
Body 85: x = -1098.989, y = 1320.719, z = -34.162, Fx = 0.002, Fy = -0.003, Fz = -0.001
Body 86: x = 647.311, y = -2137.467, z = 1393.102, Fx = -0.001, Fy = 0.004, Fz = -0.001
Body 87: x = 1870.184, y = 250.196, z = 1518.453, Fx = -0.004, Fy = -0.000, Fz = -0.002
Body 88: x = 1744.310, y = 1767.709, z = -827.562, Fx = -0.003, Fy = -0.002, Fz = 0.001
Body 89: x = 1205.450, y = -799.228, z = 1343.191, Fx = -0.003, Fy = -0.000, Fz = -0.002
Body 90: x = 1239.753, y = 1206.620, z = 1276.574, Fx = -0.001, Fy = -0.001, Fz = -0.002
Body 91: x = 1239.976, y = 412.877, z = 843.141, Fx = -0.003, Fy = -0.001, Fz = -0.000
Body 92: x = -385.200, y = 717.749, z = -359.346, Fx = -0.000, Fy = -0.002, Fz = 0.001
Body 93: x = -1706.916, y = -1187.678, z = -1234.735, Fx = 0.003, Fy = 0.001, Fz = 0.001
Body 94: x = 1201.152, y = 1469.092, z = 1322.213, Fx = -0.001, Fy = -0.002, Fz = -0.002
Body 95: x = -1610.370, y = -1398.049, z = -620.467, Fx = 0.002, Fy = 0.001, Fz = 0.001
Body 96: x = 1076.489, y = 1662.357, z = 970.174, Fx = -0.001, Fy = -0.003, Fz = -0.001
Body 97: x = -1882.837, y = -1284.316, z = 1135.503, Fx = 0.005, Fy = 0.002, Fz = -0.002
Body 98: x = -454.648, y = -629.882, z = 1806.188, Fx = 0.000, Fy = 0.001, Fz = -0.004
Body 99: x = -1730.648, y = 252.986, z = 1840.264, Fx = 0.003, Fy = -0.000, Fz = -0.004
Body 100: x = -208.592, y = 1790.955, z = -1251.320, Fx = 0.001, Fy = -0.004, Fz = 0.000
Body 101: x = -150.547, y = 354.557, z = 45.610, Fx = -0.000, Fy = -0.002, Fz = 0.000
Body 102: x = -1502.948, y = 323.662, z = 1552.104, Fx = 0.004, Fy = -0.001, Fz = -0.004
Body 103: x = 1335.864, y = -1516.140, z = -255.796, Fx = -0.001, Fy = 0.002, Fz = 0.000
Body 104: x = 126.635, y = -675.880, z = -1537.248, Fx = -0.000, Fy = -0.000, Fz = 0.003
Body 105: x = 530.439, y = 1539.590, z = 1688.111, Fx = 0.000, Fy = -0.002, Fz = -0.003
Body 106: x = -820.270, y = 550.880, z = 2058.675, Fx = 0.001, Fy = -0.001, Fz = -0.004
Body 107: x = 1230.181, y = 994.313, z = 1414.772, Fx = -0.001, Fy = -0.001, Fz = -0.003
Body 108: x = 642.959, y = -398.936, z = 215.180, Fx = -0.002, Fy = 0.001, Fz = 0.000
Body 109: x = -724.586, y = 873.380, z = 13.607, Fx = 0.000, Fy = -0.001, Fz = 0.000
Body 110: x = -354.213, y = 1444.403, z = 956.832, Fx = -0.000, Fy = -0.003, Fz = -0.002
Body 111: x = -1383.780, y = -58.727, z = 1149.881, Fx = 0.003, Fy = -0.001, Fz = -0.001
Body 112: x = -995.882, y = -205.653, z = 541.078, Fx = 0.001, Fy = 0.001, Fz = -0.000
Body 113: x = -522.937, y = -354.779, z = -828.273, Fx = -0.000, Fy = 0.001, Fz = 0.002
Body 114: x = 856.603, y = 1632.485, z = -1015.054, Fx = -0.001, Fy = -0.002, Fz = 0.001
Body 115: x = 1314.364, y = -545.660, z = 1625.152, Fx = -0.001, Fy = 0.000, Fz = -0.004
Body 116: x = 1475.287, y = 1482.585, z = 1584.139, Fx = -0.002, Fy = -0.003, Fz = -0.005
Body 117: x = 1046.941, y = -1141.490, z = 663.404, Fx = -0.001, Fy = 0.002, Fz = 0.000
Body 118: x = -439.738, y = 1908.768, z = -510.635, Fx = 0.000, Fy = -0.004, Fz = 0.001
Body 119: x = -1262.216, y = -1420.665, z = 1300.640, Fx = 0.000, Fy = 0.005, Fz = -0.000
Body 120: x = 1634.494, y = -1482.101, z = 274.746, Fx = -0.003, Fy = 0.002, Fz = -0.000
Body 121: x = 327.610, y = -250.995, z = -9.848, Fx = -0.002, Fy = 0.002, Fz = 0.001
Body 122: x = -597.645, y = -1848.194, z = 1725.518, Fx = 0.000, Fy = 0.004, Fz = -0.003
Body 123: x = -1500.763, y = -1175.288, z = 1447.572, Fx = -0.006, Fy = 0.005, Fz = 0.003
Body 124: x = 1575.745, y = -1449.944, z = -1743.231, Fx = -0.002, Fy = 0.001, Fz = 0.002
Body 125: x = -885.497, y = -1010.758, z = -932.573, Fx = 0.001, Fy = 0.002, Fz = 0.001
Body 126: x = -1386.668, y = 1520.234, z = -1601.768, Fx = -0.001, Fy = -0.003, Fz = 0.008
Body 127: x = 1903.825, y = 1609.102, z = -449.004, Fx = -0.003, Fy = -0.001, Fz = 0.001
Body 128: x = -1166.622, y = 484.501, z = -1403.969, Fx = 0.000, Fy = -0.000, Fz = 0.003
Body 129: x = -1178.892, y = 918.791, z = 1295.281, Fx = 0.001, Fy = -0.002, Fz = -0.002
Body 130: x = -975.317, y = 1470.353, z = 1459.624, Fx = 0.002, Fy = -0.003, Fz = -0.005
Body 131: x = 1408.225, y = 497.362, z = -1845.029, Fx = -0.001, Fy = -0.000, Fz = 0.002
Body 132: x = -834.814, y = 1729.044, z = 1717.489, Fx = 0.001, Fy = -0.004, Fz = -0.003
Body 133: x = 488.564, y = 844.162, z = -617.135, Fx = -0.003, Fy = -0.001, Fz = 0.001
Body 134: x = -731.706, y = -505.954, z = 1165.577, Fx = 0.000, Fy = 0.001, Fz = -0.002
Body 135: x = 190.177, y = 2210.550, z = 1084.213, Fx = -0.000, Fy = -0.004, Fz = -0.001
Body 136: x = -1116.765, y = 1153.901, z = -722.951, Fx = 0.002, Fy = -0.002, Fz = 0.002
Body 137: x = 190.500, y = -1076.198, z = -1231.987, Fx = -0.000, Fy = 0.002, Fz = 0.002
Body 138: x = -1390.271, y = 1428.920, z = 885.201, Fx = 0.004, Fy = -0.003, Fz = -0.001
Body 139: x = -712.834, y = 747.011, z = -1.644, Fx = -0.002, Fy = -0.002, Fz = -0.003
Body 140: x = -871.882, y = -1664.095, z = -1804.172, Fx = 0.001, Fy = 0.003, Fz = 0.002
Body 141: x = -1444.002, y = 330.944, z = -1423.231, Fx = 0.003, Fy = -0.000, Fz = 0.002
Body 142: x = -219.269, y = 1154.372, z = 1272.735, Fx = -0.000, Fy = -0.002, Fz = -0.003
Body 143: x = -906.135, y = -1370.958, z = 1592.037, Fx = -0.000, Fy = 0.003, Fz = -0.004
Body 144: x = 1229.291, y = 1373.018, z = 1043.146, Fx = 0.001, Fy = -0.000, Fz = 0.006
Body 145: x = 975.295, y = -721.389, z = 1230.135, Fx = -0.001, Fy = 0.001, Fz = -0.002
Body 146: x = 1445.965, y = 725.794, z = 1206.290, Fx = -0.002, Fy = -0.000, Fz = -0.001
Body 147: x = 1406.889, y = 619.318, z = -1040.991, Fx = -0.002, Fy = -0.000, Fz = 0.001
Body 148: x = -1115.228, y = -472.164, z = -1037.400, Fx = 0.001, Fy = 0.001, Fz = 0.001
Body 149: x = -1628.697, y = 1105.473, z = 1504.541, Fx = 0.005, Fy = -0.003, Fz = -0.003
Body 150: x = 1403.670, y = -1471.024, z = 1440.757, Fx = -0.002, Fy = 0.004, Fz = -0.001
Body 151: x = -1472.969, y = -858.064, z = 1092.245, Fx = 0.006, Fy = 0.002, Fz = 0.007
Body 152: x = -170.056, y = 1638.965, z = -943.342, Fx = 0.000, Fy = -0.003, Fz = 0.001
Body 153: x = 1626.665, y = -1520.768, z = -56.417, Fx = -0.002, Fy = 0.002, Fz = 0.000
Body 154: x = 748.831, y = -1931.600, z = -1116.784, Fx = -0.000, Fy = 0.004, Fz = 0.001
Body 155: x = 1693.748, y = 1923.776, z = 1640.961, Fx = -0.002, Fy = -0.003, Fz = -0.002
Body 156: x = -909.765, y = 122.810, z = -348.271, Fx = 0.001, Fy = 0.001, Fz = 0.001
Body 157: x = 810.844, y = -1557.652, z = 1234.701, Fx = -0.000, Fy = 0.003, Fz = -0.001
Body 158: x = -1370.185, y = -1370.131, z = -598.282, Fx = 0.002, Fy = 0.002, Fz = 0.001
Body 159: x = 1549.242, y = 134.227, z = -1327.016, Fx = -0.002, Fy = -0.000, Fz = 0.001
Body 160: x = 7448.277, y = 3661.074, z = 1804.488, Fx = -0.000, Fy = -0.000, Fz = -0.000
